CA2133859 
CA2256014 
CA2317783 
CA2334549 
CA2430350 
CA2605475 
CA2762099 
DE60022057 
DE60030930 
DE60139095 
DE60313306 
DE69827349 
EP019240639 
EP01990847 
EP06744537 
EP10178409 
EP10180892 
EP1091524
EP1126740
EP1201061
EP1340336
EP1441481
EP1488577
EP2259499
EP924901
HK08106619 
JP3459674 
KR100885322 
US2013681621 
US2013726835 
US2013728698 
US2013728747 
US2013728770 
US2013728838 
US2014099279 
US40467 RE
US40999 RE
US44775 RE
US45065 RE
US45081 RE
US45095 RE
US45121 RE
US5363401 
US5390364 
US5425060 
US5463656 
US5477210 
US5479425 
US5506853 
US5550549 
US5560597 
US5581599 
US5585675 
US5622363 
US5626332 
US5647584 
US5648999 
US5651049 
US5659325 
US5661459 
US5682069 
US5719584 
US5751967 
US5752195 
US5754944 
US5778317 
US5796920 
US5801874 
US5806844 
US5881101 
US5892814 
US5959990 
US5970125 
US5970462 
US5982808 
US5990851 
US6020862 
US6043924 
US6052215 
US6072375 
US6111876 
US6130877 
US6140978 
US6141557 
US6144692 
US6151339 
US6163233 
US6166705 
US6166774 
US6169496 
US6181296 
US6211834 
US6212765 
US6222848 
US6236371 
US6243051 
US6243052 
US6266015 
US6271799 
US6278416 
US6283778 
US6292133 
US6297764 
US6300894 
US6307510 
US6307523 
US6313811 
US6320546 
US6320553 
US6320989 
US6323819 
US6342870 
US6344830 
US6344835 
US6345047 
US6353846 
US6356240 
US6359897 
US6366557 
US6389036 
US6404765 
US6411612 
US6417730 
US6417813 
US6417818 
US6421012 
US6421022 
US6421023 
US6421180 
US6422876 
US6427185 
US6429816 
US6441801 
US6445964 
US6452567 
US6456258 
US6466986 
US6472748 
US6483464 
US6487324 
US6490249 
US6492903 
US6501437 
US6507648 
US6542277 
US6549562 
US6552687 
US6563472 
US6578086 
US6614899 
US6639462 
US6643277 
US6661788 
US6678082 
US6681122 
US6686891 
US6694083 
US6697028 
US6697325 
US6717549 
US6721182 
US6728684 
US6738018 
US6745243 
US6751266 
US6765925 
US6770159 
US6771221 
US6771698 
US6788671 
US6807174 
US6812807 
US6812906 
US6822616 
US6823031 
US6824307 
US6839322 
US6850553 
US6853343 
US6856216 
US6859098 
US6859118 
US6859185 
US6861975 
US6862639 
US6862708 
US6868067 
US6870658 
US6876274 
US6879297 
US6879298 
US6879594 
US6882800 
US6885355 
US6888442 
US6891432 
US6894550 
US6894579 
US6894582 
US6894652 
US6900763 
US6901123 
US6903619 
US6903703 
US6906560 
US6906676 
US6909599 
US6911941 
US6911953 
US6914553 
US6917500 
US6918068 
US6919839 
US6927745 
US6930568 
US6931362 
US6933933 
US6937120 
US6937201 
US6937704 
US6940462 
US6952740 
US6956532 
US6958738 
US6965355 
US6965614 
US6970138 
US6970461 
US6975268 
US6975279 
US6980564 
US6982679 
US6983198 
US6985047 
US6985118 
US6987392 
US6992636 
US6993440 
US6993460 
US6999044 
US7006052 
US7009570 
US7009571 
US7012453 
US7018216 
US7023378 
US7023384 
US7030834 
US7031296 
US7036065 
US7058359 
US7079260 
US7088308 
US7097460 
US7102588 
US7104515 
US7123700 
US7148459 
US7154329 
US7155071 
US7158515 
US7158588 
US7173577 
US7194025 
US7195511 
US7233593 
US7236679 
US7245183 
US7254186 
US7254195 
US7274704 
US7277533 
US7277623 
US7286497 
US7298854 
US7299589 
US7302185 
US7307570 
US7313154 
US7317412 
US7322843 
US7335892 
US7336242 
US7339340 
US7345534 
US7346133 
US7353592 
US7358921 
US7366183 
US7370566 
US7379304 
US7385998 
US7397763 
US7408520 
US7447276 
US7449987 
US7460551 
US7460618 
US7478167 
US7526260 
US7529194 
US7539251 
US7539252 
US7545865 
US7610023 
US7646263 
US7664123 
US7671699 
US7770087 
US7869362 
US7894512 
US8166533 
US8189575 
US8325707 
US8391275 
US8582569 
US8607323 
